Model,DPO2012
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,1.4e+06,
Record Length,5200,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Label,,
TIME,CH1,CH1 Peak Detect
1.2043e+01,0.72,0.688
1.2051e+01,0.72,0.744
1.2058e+01,0.72,0.688
1.2066e+01,0.72,0.744
1.2074e+01,0.72,0.696
1.2081e+01,0.72,0.752
1.2089e+01,0.72,0.688
1.2097e+01,0.72,0.744
1.2104e+01,0.72,0.696
1.2112e+01,0.72,0.752
1.2120e+01,0.72,0.688
1.2127e+01,0.72,0.744
1.2135e+01,0.72,0.696
1.2143e+01,0.72,0.752
1.2151e+01,0.72,0.696
1.2158e+01,0.72,0.752
1.2166e+01,0.72,0.696
1.2174e+01,0.72,0.752
1.2181e+01,0.72,0.696
1.2189e+01,0.72,0.752
1.2197e+01,0.72,0.696
1.2204e+01,0.72,0.744
1.2212e+01,0.72,0.696
1.2220e+01,0.72,0.752
1.2227e+01,0.72,0.696
1.2235e+01,0.72,0.752
1.2243e+01,0.72,0.696
1.2250e+01,0.72,0.752
1.2258e+01,0.72,0.696
1.2266e+01,0.72,0.752
1.2273e+01,0.72,0.704
1.2281e+01,0.72,0.752
1.2289e+01,0.728,0.696
1.2296e+01,0.72,0.76
1.2304e+01,0.728,0.696
1.2312e+01,0.728,0.76
1.2320e+01,0.728,0.696
1.2327e+01,0.728,0.76
1.2335e+01,0.728,0.696
1.2343e+01,0.728,0.752
1.2350e+01,0.728,0.696
1.2358e+01,0.728,0.76
1.2366e+01,0.728,0.696
1.2373e+01,0.728,0.752
1.2381e+01,0.728,0.696
1.2389e+01,0.728,0.76
1.2396e+01,0.728,0.704
1.2404e+01,0.728,0.76
1.2412e+01,0.728,0.696
1.2419e+01,0.728,0.76
1.2427e+01,0.728,0.704
1.2435e+01,0.728,0.76
1.2442e+01,0.728,0.704
1.2450e+01,0.728,0.752
1.2458e+01,0.728,0.704
1.2465e+01,0.728,0.76
1.2473e+01,0.728,0.704
1.2481e+01,0.728,0.752
1.2488e+01,0.728,0.704
1.2496e+01,0.728,0.76
1.2504e+01,0.728,0.696
1.2512e+01,0.728,0.752
1.2519e+01,0.728,0.704
1.2527e+01,0.728,0.76
1.2535e+01,0.728,0.704
1.2542e+01,0.736,0.76
1.2550e+01,0.736,0.704
1.2558e+01,0.736,0.76
1.2565e+01,0.736,0.704
1.2573e+01,0.728,0.768
1.2581e+01,0.736,0.704
1.2588e+01,0.736,0.76
1.2596e+01,0.736,0.704
1.2604e+01,0.736,0.768
1.2611e+01,0.728,0.704
1.2619e+01,0.736,0.768
1.2627e+01,0.736,0.712
1.2634e+01,0.736,0.768
1.2642e+01,0.736,0.704
1.2650e+01,0.736,0.768
1.2657e+01,0.736,0.704
1.2665e+01,0.736,0.76
1.2673e+01,0.736,0.704
1.2680e+01,0.736,0.768
1.2688e+01,0.736,0.704
1.2696e+01,0.736,0.76
1.2704e+01,0.736,0.712
1.2711e+01,0.736,0.768
1.2719e+01,0.736,0.704
1.2727e+01,0.736,0.76
1.2734e+01,0.736,0.712
1.2742e+01,0.736,0.768
1.2750e+01,0.736,0.704
1.2757e+01,0.736,0.768
1.2765e+01,0.736,0.712
1.2773e+01,0.736,0.768
1.2780e+01,0.736,0.712
1.2788e+01,0.736,0.768
1.2796e+01,0.736,0.712
1.2803e+01,0.736,0.768
1.2811e+01,0.736,0.712
1.2819e+01,0.736,0.768
1.2826e+01,0.736,0.704
1.2834e+01,0.736,0.768
1.2842e+01,0.736,0.712
1.2849e+01,0.736,0.768
1.2857e+01,0.736,0.712
1.2865e+01,0.736,0.76
1.2873e+01,0.736,0.704
1.2880e+01,0.744,0.768
1.2888e+01,0.736,0.712
1.2896e+01,0.736,0.768
1.2903e+01,0.744,0.712
1.2911e+01,0.744,0.768
1.2919e+01,0.744,0.712
1.2926e+01,0.744,0.776
1.2934e+01,0.744,0.712
1.2942e+01,0.744,0.768
1.2949e+01,0.744,0.712
1.2957e+01,0.744,0.776
1.2965e+01,0.744,0.712
1.2972e+01,0.744,0.768
1.2980e+01,0.744,0.712
1.2988e+01,0.744,0.776
1.2995e+01,0.744,0.712
1.3003e+01,0.744,0.768
1.3011e+01,0.744,0.712
1.3018e+01,0.744,0.776
1.3026e+01,0.744,0.72
1.3034e+01,0.744,0.776
1.3041e+01,0.744,0.712
1.3049e+01,0.744,0.768
1.3057e+01,0.744,0.72
1.3065e+01,0.744,0.776
1.3072e+01,0.744,0.712
1.3080e+01,0.744,0.768
1.3088e+01,0.744,0.72
1.3095e+01,0.744,0.776
1.3103e+01,0.744,0.72
1.3111e+01,0.744,0.776
1.3118e+01,0.744,0.72
1.3126e+01,0.744,0.776
1.3134e+01,0.744,0.72
1.3141e+01,0.744,0.776
1.3149e+01,0.744,0.72
1.3157e+01,0.744,0.776
1.3164e+01,0.744,0.72
1.3172e+01,0.744,0.776
1.3180e+01,0.744,0.72
1.3187e+01,0.744,0.776
1.3195e+01,0.752,0.72
1.3203e+01,0.752,0.784
1.3210e+01,0.744,0.712
1.3218e+01,0.744,0.776
1.3226e+01,0.752,0.72
1.3233e+01,0.752,0.776
1.3241e+01,0.752,0.72
1.3249e+01,0.752,0.776
1.3257e+01,0.752,0.72
1.3264e+01,0.752,0.784
1.3272e+01,0.752,0.72
1.3280e+01,0.752,0.776
1.3287e+01,0.752,0.72
1.3295e+01,0.752,0.776
1.3303e+01,0.752,0.72
1.3310e+01,0.752,0.784
1.3318e+01,0.752,0.72
1.3326e+01,0.752,0.776
1.3333e+01,0.752,0.728
1.3341e+01,0.752,0.784
1.3349e+01,0.752,0.72
1.3356e+01,0.752,0.776
1.3364e+01,0.752,0.728
1.3372e+01,0.752,0.784
1.3379e+01,0.752,0.728
1.3387e+01,0.752,0.776
1.3395e+01,0.752,0.72
1.3402e+01,0.752,0.784
1.3410e+01,0.752,0.728
1.3418e+01,0.752,0.784
1.3425e+01,0.752,0.728
1.3433e+01,0.752,0.776
1.3441e+01,0.752,0.728
1.3449e+01,0.752,0.784
1.3456e+01,0.752,0.72
1.3464e+01,0.752,0.776
1.3472e+01,0.752,0.728
1.3479e+01,0.752,0.784
1.3487e+01,0.752,0.728
1.3495e+01,0.752,0.776
1.3502e+01,0.752,0.728
1.3510e+01,0.752,0.784
1.3518e+01,0.752,0.728
1.3525e+01,0.752,0.784
1.3533e+01,0.76,0.728
1.3541e+01,0.752,0.784
1.3548e+01,0.752,0.728
1.3556e+01,0.76,0.784
1.3564e+01,0.76,0.728
1.3571e+01,0.76,0.784
1.3579e+01,0.76,0.736
1.3587e+01,0.76,0.792
1.3594e+01,0.76,0.728
1.3602e+01,0.76,0.784
1.3610e+01,0.76,0.736
1.3618e+01,0.76,0.792
1.3625e+01,0.76,0.728
1.3633e+01,0.76,0.792
1.3641e+01,0.76,0.728
1.3648e+01,0.76,0.784
1.3656e+01,0.76,0.736
1.3664e+01,0.76,0.792
1.3671e+01,0.76,0.736
1.3679e+01,0.76,0.784
1.3687e+01,0.76,0.736
1.3694e+01,0.76,0.792
1.3702e+01,0.76,0.736
1.3710e+01,0.76,0.784
1.3717e+01,0.76,0.736
1.3725e+01,0.76,0.792
1.3733e+01,0.76,0.728
1.3740e+01,0.76,0.784
1.3748e+01,0.76,0.736
1.3756e+01,0.76,0.792
1.3763e+01,0.76,0.736
1.3771e+01,0.76,0.784
1.3779e+01,0.76,0.736
1.3786e+01,0.76,0.792
1.3794e+01,0.76,0.736
1.3802e+01,0.76,0.792
1.3810e+01,0.76,0.736
1.3817e+01,0.768,0.792
1.3825e+01,0.76,0.736
1.3833e+01,0.76,0.792
1.3840e+01,0.76,0.736
1.3848e+01,0.768,0.784
1.3856e+01,0.768,0.736
1.3863e+01,0.768,0.792
1.3871e+01,0.768,0.736
1.3879e+01,0.768,0.792
1.3886e+01,0.768,0.736
1.3894e+01,0.768,0.792
1.3902e+01,0.768,0.736
1.3909e+01,0.768,0.792
1.3917e+01,0.768,0.736
1.3925e+01,0.768,0.792
1.3932e+01,0.768,0.736
1.3940e+01,0.768,0.8
1.3948e+01,0.768,0.736
1.3955e+01,0.768,0.792
1.3963e+01,0.768,0.744
1.3971e+01,0.768,0.8
1.3978e+01,0.768,0.736
1.3986e+01,0.768,0.8
1.3994e+01,0.768,0.744
1.4002e+01,0.768,0.8
1.4009e+01,0.768,0.736
1.4017e+01,0.768,0.8
1.4025e+01,0.768,0.744
1.4032e+01,0.768,0.8
1.4040e+01,0.768,0.744
1.4048e+01,0.768,0.8
1.4055e+01,0.768,0.744
1.4063e+01,0.768,0.8
1.4071e+01,0.768,0.744
1.4078e+01,0.768,0.8
1.4086e+01,0.768,0.744
1.4094e+01,0.768,0.792
1.4101e+01,0.768,0.744
1.4109e+01,0.768,0.8
1.4117e+01,0.768,0.744
1.4124e+01,0.768,0.792
1.4132e+01,0.768,0.744
1.4140e+01,0.768,0.8
1.4147e+01,0.768,0.744
1.4155e+01,0.768,0.8
1.4163e+01,0.768,0.744
1.4171e+01,0.768,0.8
1.4178e+01,0.768,0.744
1.4186e+01,0.768,0.8
1.4194e+01,0.776,0.744
1.4201e+01,0.776,0.8
1.4209e+01,0.776,0.744
1.4217e+01,0.776,0.808
1.4224e+01,0.776,0.744
1.4232e+01,0.776,0.8
1.4240e+01,0.776,0.744
1.4247e+01,0.776,0.808
1.4255e+01,0.776,0.744
1.4263e+01,0.776,0.8
1.4270e+01,0.776,0.744
1.4278e+01,0.776,0.808
1.4286e+01,0.776,0.752
1.4293e+01,0.776,0.8
1.4301e+01,0.776,0.744
1.4309e+01,0.776,0.8
1.4316e+01,0.776,0.752
1.4324e+01,0.776,0.808
1.4332e+01,0.776,0.744
1.4339e+01,0.776,0.8
1.4347e+01,0.776,0.752
1.4355e+01,0.776,0.808
1.4363e+01,0.776,0.752
1.4370e+01,0.776,0.8
1.4378e+01,0.776,0.744
1.4386e+01,0.776,0.808
1.4393e+01,0.776,0.752
1.4401e+01,0.776,0.808
1.4409e+01,0.776,0.752
1.4416e+01,0.776,0.808
1.4424e+01,0.776,0.752
1.4432e+01,0.776,0.808
1.4439e+01,0.776,0.752
1.4447e+01,0.776,0.8
1.4455e+01,0.776,0.76
1.4462e+01,0.776,0.808
1.4470e+01,0.776,0.752
1.4478e+01,0.784,0.808
1.4485e+01,0.784,0.752
1.4493e+01,0.784,0.808
1.4501e+01,0.784,0.752
1.4508e+01,0.784,0.808
1.4516e+01,0.784,0.752
1.4524e+01,0.784,0.808
1.4531e+01,0.784,0.752
1.4539e+01,0.784,0.808
1.4547e+01,0.784,0.752
1.4555e+01,0.784,0.808
1.4562e+01,0.784,0.752
1.4570e+01,0.784,0.808
1.4578e+01,0.784,0.752
1.4585e+01,0.784,0.816
1.4593e+01,0.784,0.76
1.4601e+01,0.784,0.816
1.4608e+01,0.784,0.752
1.4616e+01,0.784,0.808
1.4624e+01,0.784,0.76
1.4631e+01,0.784,0.816
1.4639e+01,0.784,0.76
1.4647e+01,0.784,0.808
1.4654e+01,0.784,0.752
1.4662e+01,0.784,0.816
1.4670e+01,0.784,0.76
1.4677e+01,0.784,0.816
1.4685e+01,0.784,0.76
1.4693e+01,0.784,0.808
1.4700e+01,0.784,0.76
1.4708e+01,0.784,0.816
1.4716e+01,0.784,0.76
1.4724e+01,0.784,0.808
1.4731e+01,0.784,0.76
1.4739e+01,0.784,0.816
1.4747e+01,0.784,0.76
1.4754e+01,0.784,0.808
1.4762e+01,0.784,0.76
1.4770e+01,0.784,0.816
1.4777e+01,0.784,0.76
1.4785e+01,0.784,0.816
1.4793e+01,0.784,0.76
1.4800e+01,0.784,0.816
1.4808e+01,0.784,0.76
1.4816e+01,0.784,0.824
1.4823e+01,0.792,0.76
1.4831e+01,0.784,0.816
1.4839e+01,0.792,0.76
1.4846e+01,0.784,0.816
1.4854e+01,0.792,0.76
1.4862e+01,0.792,0.816
1.4869e+01,0.792,0.768
1.4877e+01,0.792,0.816
1.4885e+01,0.792,0.76
1.4892e+01,0.792,0.816
1.4900e+01,0.792,0.76
1.4908e+01,0.792,0.816
1.4916e+01,0.792,0.768
1.4923e+01,0.792,0.816
1.4931e+01,0.792,0.76
1.4939e+01,0.792,0.824
1.4946e+01,0.792,0.768
1.4954e+01,0.792,0.824
1.4962e+01,0.792,0.76
1.4969e+01,0.792,0.824
1.4977e+01,0.792,0.768
1.4985e+01,0.792,0.824
1.4992e+01,0.792,0.768
1.5000e+01,0.792,0.824
1.5008e+01,0.792,0.768
1.5015e+01,0.792,0.824
1.5023e+01,0.792,0.768
1.5031e+01,0.792,0.824
1.5038e+01,0.792,0.768
1.5046e+01,0.792,0.824
1.5054e+01,0.792,0.768
1.5061e+01,0.792,0.824
1.5069e+01,0.792,0.768
1.5077e+01,0.792,0.824
1.5084e+01,0.792,0.768
1.5092e+01,0.792,0.824
1.5100e+01,0.792,0.768
1.5108e+01,0.792,0.816
1.5115e+01,0.792,0.768
1.5123e+01,0.8,0.824
1.5131e+01,0.792,0.768
1.5138e+01,0.8,0.816
1.5146e+01,0.8,0.768
1.5154e+01,0.8,0.824
1.5161e+01,0.8,0.768
1.5169e+01,0.8,0.824
1.5177e+01,0.8,0.768
1.5184e+01,0.8,0.824
1.5192e+01,0.8,0.776
1.5200e+01,0.8,0.832
1.5207e+01,0.8,0.768
1.5215e+01,0.8,0.824
1.5223e+01,0.8,0.768
1.5230e+01,0.8,0.832
1.5238e+01,0.8,0.768
1.5246e+01,0.8,0.824
1.5253e+01,0.8,0.768
1.5261e+01,0.8,0.824
1.5269e+01,0.8,0.776
1.5276e+01,0.8,0.832
1.5284e+01,0.8,0.768
1.5292e+01,0.8,0.824
1.5300e+01,0.8,0.776
1.5307e+01,0.8,0.832
1.5315e+01,0.8,0.776
1.5323e+01,0.8,0.824
1.5330e+01,0.8,0.776
1.5338e+01,0.8,0.832
1.5346e+01,0.8,0.768
1.5353e+01,0.8,0.832
1.5361e+01,0.8,0.776
1.5369e+01,0.8,0.832
1.5376e+01,0.8,0.776
1.5384e+01,0.8,0.832
1.5392e+01,0.8,0.776
1.5399e+01,0.8,0.832
1.5407e+01,0.8,0.776
1.5415e+01,0.8,0.832
1.5422e+01,0.8,0.776
1.5430e+01,0.808,0.832
1.5438e+01,0.808,0.776
1.5445e+01,0.808,0.84
1.5453e+01,0.808,0.776
1.5461e+01,0.808,0.832
1.5469e+01,0.808,0.784
1.5476e+01,0.808,0.832
1.5484e+01,0.808,0.776
1.5492e+01,0.808,0.832
1.5499e+01,0.808,0.784
1.5507e+01,0.808,0.832
1.5515e+01,0.808,0.776
1.5522e+01,0.808,0.832
1.5530e+01,0.808,0.776
1.5538e+01,0.808,0.84
1.5545e+01,0.808,0.784
1.5553e+01,0.808,0.84
1.5561e+01,0.808,0.776
1.5568e+01,0.808,0.832
1.5576e+01,0.808,0.784
1.5584e+01,0.808,0.84
1.5591e+01,0.808,0.776
1.5599e+01,0.808,0.832
1.5607e+01,0.808,0.776
1.5614e+01,0.808,0.84
1.5622e+01,0.808,0.784
1.5630e+01,0.808,0.832
1.5637e+01,0.808,0.776
1.5645e+01,0.808,0.84
1.5653e+01,0.808,0.784
1.5661e+01,0.808,0.84
1.5668e+01,0.808,0.784
1.5676e+01,0.808,0.832
1.5684e+01,0.808,0.784
1.5691e+01,0.808,0.84
1.5699e+01,0.808,0.784
1.5707e+01,0.808,0.832
1.5714e+01,0.808,0.784
1.5722e+01,0.808,0.84
1.5730e+01,0.808,0.784
1.5737e+01,0.808,0.832
1.5745e+01,0.808,0.792
1.5753e+01,0.808,0.84
1.5760e+01,0.816,0.784
1.5768e+01,0.808,0.84
1.5776e+01,0.816,0.784
1.5783e+01,0.816,0.84
1.5791e+01,0.816,0.784
1.5799e+01,0.816,0.84
1.5806e+01,0.816,0.784
1.5814e+01,0.816,0.84
1.5822e+01,0.816,0.784
1.5829e+01,0.816,0.848
1.5837e+01,0.816,0.784
1.5845e+01,0.816,0.84
1.5853e+01,0.816,0.792
1.5860e+01,0.816,0.848
1.5868e+01,0.816,0.792
1.5876e+01,0.816,0.848
1.5883e+01,0.816,0.792
1.5891e+01,0.816,0.848
1.5899e+01,0.816,0.792
1.5906e+01,0.816,0.848
1.5914e+01,0.816,0.792
1.5922e+01,0.816,0.848
1.5929e+01,0.816,0.792
1.5937e+01,0.816,0.848
1.5945e+01,0.816,0.792
1.5952e+01,0.816,0.848
1.5960e+01,0.816,0.792
1.5968e+01,0.816,0.848
1.5975e+01,0.816,0.792
1.5983e+01,0.816,0.84
1.5991e+01,0.816,0.792
1.5998e+01,0.816,0.848
1.6006e+01,0.816,0.792
1.6014e+01,0.816,0.84
1.6022e+01,0.816,0.792
1.6029e+01,0.816,0.848
1.6037e+01,0.816,0.792
1.6045e+01,0.816,0.848
1.6052e+01,0.816,0.792
1.6060e+01,0.824,0.84
1.6068e+01,0.824,0.792
1.6075e+01,0.824,0.856
1.6083e+01,0.824,0.792
1.6091e+01,0.824,0.848
1.6098e+01,0.824,0.792
1.6106e+01,0.824,0.856
1.6114e+01,0.824,0.792
1.6121e+01,0.824,0.848
1.6129e+01,0.824,0.792
1.6137e+01,0.824,0.848
1.6144e+01,0.824,0.792
1.6152e+01,0.824,0.848
1.6160e+01,0.824,0.792
1.6167e+01,0.824,0.848
1.6175e+01,0.824,0.792
1.6183e+01,0.824,0.856
1.6190e+01,0.824,0.792
1.6198e+01,0.824,0.848
1.6206e+01,0.824,0.8
1.6214e+01,0.824,0.856
1.6221e+01,0.824,0.8
1.6229e+01,0.824,0.848
1.6237e+01,0.824,0.8
1.6244e+01,0.824,0.856
1.6252e+01,0.824,0.8
1.6260e+01,0.824,0.856
1.6267e+01,0.824,0.8
1.6275e+01,0.824,0.856
1.6283e+01,0.824,0.8
1.6290e+01,0.824,0.856
1.6298e+01,0.824,0.792
1.6306e+01,0.824,0.856
1.6313e+01,0.824,0.8
1.6321e+01,0.824,0.856
1.6329e+01,0.824,0.792
1.6336e+01,0.824,0.856
1.6344e+01,0.824,0.8
1.6352e+01,0.824,0.856
1.6359e+01,0.832,0.8
1.6367e+01,0.832,0.856
1.6375e+01,0.824,0.8
1.6382e+01,0.832,0.856
1.6390e+01,0.832,0.8
1.6398e+01,0.832,0.856
1.6406e+01,0.824,0.8
1.6413e+01,0.832,0.856
1.6421e+01,0.832,0.808
1.6429e+01,0.832,0.856
1.6436e+01,0.832,0.8
1.6444e+01,0.832,0.856
1.6452e+01,0.832,0.8
1.6459e+01,0.832,0.864
1.6467e+01,0.832,0.8
1.6475e+01,0.832,0.856
1.6482e+01,0.832,0.8
1.6490e+01,0.832,0.864
1.6498e+01,0.832,0.808
1.6505e+01,0.832,0.856
1.6513e+01,0.832,0.8
1.6521e+01,0.832,0.864
1.6528e+01,0.832,0.808
1.6536e+01,0.832,0.864
1.6544e+01,0.832,0.8
1.6551e+01,0.832,0.856
1.6559e+01,0.832,0.808
1.6567e+01,0.832,0.864
1.6575e+01,0.832,0.808
1.6582e+01,0.832,0.856
1.6590e+01,0.832,0.808
1.6598e+01,0.832,0.864
1.6605e+01,0.832,0.808
1.6613e+01,0.832,0.856
1.6621e+01,0.832,0.808
1.6628e+01,0.832,0.864
1.6636e+01,0.832,0.808
1.6644e+01,0.832,0.864
1.6651e+01,0.832,0.808
1.6659e+01,0.832,0.864
1.6667e+01,0.832,0.808
1.6674e+01,0.832,0.864
1.6682e+01,0.832,0.808
1.6690e+01,0.832,0.864
1.6697e+01,0.832,0.808
1.6705e+01,0.832,0.872
1.6713e+01,0.84,0.808
1.6720e+01,0.832,0.864
1.6728e+01,0.84,0.816
1.6736e+01,0.84,0.872
1.6743e+01,0.84,0.808
1.6751e+01,0.84,0.864
1.6759e+01,0.84,0.816
1.6767e+01,0.84,0.864
1.6774e+01,0.84,0.816
1.6782e+01,0.84,0.872
1.6790e+01,0.84,0.808
1.6797e+01,0.84,0.864
1.6805e+01,0.84,0.816
1.6813e+01,0.84,0.872
1.6820e+01,0.84,0.808
1.6828e+01,0.84,0.872
1.6836e+01,0.84,0.816
1.6843e+01,0.84,0.872
1.6851e+01,0.84,0.816
1.6859e+01,0.84,0.864
1.6866e+01,0.84,0.816
1.6874e+01,0.84,0.872
1.6882e+01,0.84,0.816
1.6889e+01,0.84,0.864
1.6897e+01,0.84,0.816
1.6905e+01,0.84,0.872
1.6912e+01,0.84,0.816
1.6920e+01,0.84,0.872
1.6928e+01,0.84,0.816
1.6935e+01,0.84,0.872
1.6943e+01,0.84,0.816
1.6951e+01,0.84,0.872
1.6959e+01,0.84,0.816
1.6966e+01,0.84,0.864
1.6974e+01,0.84,0.816
1.6982e+01,0.84,0.872
1.6989e+01,0.84,0.816
1.6997e+01,0.84,0.864
1.7005e+01,0.84,0.808
1.7012e+01,0.848,0.872
1.7020e+01,0.84,0.816
1.7028e+01,0.848,0.872
1.7035e+01,0.848,0.816
1.7043e+01,0.848,0.872
1.7051e+01,0.848,0.816
1.7058e+01,0.848,0.872
1.7066e+01,0.848,0.816
1.7074e+01,0.848,0.872
1.7081e+01,0.848,0.824
1.7089e+01,0.848,0.872
1.7097e+01,0.848,0.816
1.7104e+01,0.848,0.872
1.7112e+01,0.848,0.824
1.7120e+01,0.848,0.872
1.7127e+01,0.848,0.816
1.7135e+01,0.848,0.88
1.7143e+01,0.848,0.824
1.7151e+01,0.848,0.872
1.7158e+01,0.848,0.816
1.7166e+01,0.848,0.88
1.7174e+01,0.848,0.824
1.7181e+01,0.848,0.872
1.7189e+01,0.848,0.824
1.7197e+01,0.848,0.88
1.7204e+01,0.848,0.816
1.7212e+01,0.848,0.872
1.7220e+01,0.848,0.824
1.7227e+01,0.848,0.88
1.7235e+01,0.848,0.824
1.7243e+01,0.848,0.88
1.7250e+01,0.848,0.824
1.7258e+01,0.848,0.88
1.7266e+01,0.848,0.824
1.7273e+01,0.848,0.88
1.7281e+01,0.848,0.824
1.7289e+01,0.848,0.88
1.7296e+01,0.848,0.824
1.7304e+01,0.848,0.88
1.7312e+01,0.848,0.824
1.7320e+01,0.848,0.88
1.7327e+01,0.848,0.824
1.7335e+01,0.856,0.88
1.7343e+01,0.856,0.824
1.7350e+01,0.856,0.88
1.7358e+01,0.856,0.824
1.7366e+01,0.856,0.888
1.7373e+01,0.856,0.824
1.7381e+01,0.856,0.872
1.7389e+01,0.856,0.824
1.7396e+01,0.856,0.888
1.7404e+01,0.856,0.832
1.7412e+01,0.856,0.88
1.7419e+01,0.856,0.824
1.7427e+01,0.856,0.88
1.7435e+01,0.856,0.832
1.7442e+01,0.856,0.888
1.7450e+01,0.856,0.824
1.7458e+01,0.856,0.88
1.7465e+01,0.856,0.832
1.7473e+01,0.856,0.888
1.7481e+01,0.856,0.824
1.7488e+01,0.856,0.88
1.7496e+01,0.856,0.832
1.7504e+01,0.856,0.888
1.7512e+01,0.856,0.832
1.7519e+01,0.856,0.888
1.7527e+01,0.856,0.824
1.7535e+01,0.856,0.888
1.7542e+01,0.856,0.824
1.7550e+01,0.856,0.888
1.7558e+01,0.856,0.824
1.7565e+01,0.856,0.88
1.7573e+01,0.856,0.832
1.7581e+01,0.856,0.888
1.7588e+01,0.856,0.832
1.7596e+01,0.856,0.88
1.7604e+01,0.856,0.832
1.7611e+01,0.856,0.888
1.7619e+01,0.856,0.832
1.7627e+01,0.856,0.888
1.7634e+01,0.856,0.832
1.7642e+01,0.856,0.888
1.7650e+01,0.856,0.832
1.7657e+01,0.856,0.888
1.7665e+01,0.856,0.832
1.7673e+01,0.864,0.888
1.7680e+01,0.856,0.84
1.7688e+01,0.864,0.896
1.7696e+01,0.864,0.832
1.7704e+01,0.864,0.888
1.7711e+01,0.864,0.832
1.7719e+01,0.864,0.896
1.7727e+01,0.864,0.832
1.7734e+01,0.864,0.888
1.7742e+01,0.864,0.84
1.7750e+01,0.864,0.896
1.7757e+01,0.864,0.84
1.7765e+01,0.864,0.896
1.7773e+01,0.864,0.832
1.7780e+01,0.864,0.896
1.7788e+01,0.864,0.84
1.7796e+01,0.864,0.896
1.7803e+01,0.864,0.84
1.7811e+01,0.864,0.888
1.7819e+01,0.864,0.84
1.7826e+01,0.864,0.896
1.7834e+01,0.864,0.84
1.7842e+01,0.864,0.888
1.7849e+01,0.864,0.84
1.7857e+01,0.864,0.896
1.7865e+01,0.864,0.84
1.7873e+01,0.864,0.888
1.7880e+01,0.864,0.84
1.7888e+01,0.864,0.896
1.7896e+01,0.864,0.84
1.7903e+01,0.864,0.896
1.7911e+01,0.864,0.84
1.7919e+01,0.864,0.888
1.7926e+01,0.864,0.84
1.7934e+01,0.864,0.896
1.7942e+01,0.864,0.84
1.7949e+01,0.864,0.896
1.7957e+01,0.864,0.84
1.7965e+01,0.864,0.896
1.7972e+01,0.864,0.84
1.7980e+01,0.864,0.896
1.7988e+01,0.872,0.84
1.7995e+01,0.872,0.896
1.8003e+01,0.872,0.84
1.8011e+01,0.872,0.896
1.8018e+01,0.872,0.84
1.8026e+01,0.872,0.896
1.8034e+01,0.872,0.84
1.8041e+01,0.872,0.904
1.8049e+01,0.872,0.84
1.8057e+01,0.872,0.896
1.8065e+01,0.872,0.848
1.8072e+01,0.872,0.904
1.8080e+01,0.872,0.84
1.8088e+01,0.872,0.896
1.8095e+01,0.872,0.848
1.8103e+01,0.872,0.904
1.8111e+01,0.872,0.848
1.8118e+01,0.872,0.904
1.8126e+01,0.872,0.848
1.8134e+01,0.872,0.904
1.8141e+01,0.872,0.848
1.8149e+01,0.872,0.904
1.8157e+01,0.872,0.84
1.8164e+01,0.872,0.904
1.8172e+01,0.872,0.848
1.8180e+01,0.872,0.904
1.8187e+01,0.872,0.848
1.8195e+01,0.872,0.904
1.8203e+01,0.872,0.848
1.8210e+01,0.872,0.904
1.8218e+01,0.872,0.848
1.8226e+01,0.872,0.896
1.8233e+01,0.872,0.848
1.8241e+01,0.872,0.904
1.8249e+01,0.872,0.848
1.8257e+01,0.872,0.904
1.8264e+01,0.872,0.848
1.8272e+01,0.88,0.904
1.8280e+01,0.872,0.848
1.8287e+01,0.88,0.912
1.8295e+01,0.88,0.848
1.8303e+01,0.88,0.904
1.8310e+01,0.88,0.848
1.8318e+01,0.872,0.904
1.8326e+01,0.88,0.848
1.8333e+01,0.88,0.904
1.8341e+01,0.88,0.856
1.8349e+01,0.88,0.912
1.8356e+01,0.88,0.848
1.8364e+01,0.88,0.904
1.8372e+01,0.88,0.848
1.8379e+01,0.88,0.912
1.8387e+01,0.88,0.856
1.8395e+01,0.88,0.904
1.8402e+01,0.88,0.848
1.8410e+01,0.88,0.904
1.8418e+01,0.88,0.848
1.8425e+01,0.88,0.912
1.8433e+01,0.88,0.856
1.8441e+01,0.88,0.904
1.8449e+01,0.88,0.856
1.8456e+01,0.88,0.912
1.8464e+01,0.88,0.856
1.8472e+01,0.88,0.904
1.8479e+01,0.88,0.856
1.8487e+01,0.88,0.912
1.8495e+01,0.88,0.856
1.8502e+01,0.88,0.912
1.8510e+01,0.88,0.856
1.8518e+01,0.88,0.912
1.8525e+01,0.88,0.856
1.8533e+01,0.88,0.912
1.8541e+01,0.88,0.856
1.8548e+01,0.88,0.912
1.8556e+01,0.88,0.856
1.8564e+01,0.88,0.912
1.8571e+01,0.88,0.856
1.8579e+01,0.88,0.912
1.8587e+01,0.88,0.856
1.8594e+01,0.888,0.92
1.8602e+01,0.88,0.856
1.8610e+01,0.888,0.912
1.8618e+01,0.888,0.864
1.8625e+01,0.888,0.92
1.8633e+01,0.888,0.864
1.8641e+01,0.888,0.92
1.8648e+01,0.888,0.856
1.8656e+01,0.888,0.92
1.8664e+01,0.888,0.856
